model,noise,seed,accuracy,f1,disagreement
"k=1, uniform",0.2,18,0.7657142857142857,0.7630057803468208,0.21714285714285714
"k=15, uniform",0.0,18,0.9771428571428571,0.9777777777777777,0.0
"k=15, uniform",0.05,18,0.9714285714285714,0.9720670391061452,0.005714285714285714
"k=15, uniform",0.1,18,0.9657142857142857,0.9662921348314607,0.011428571428571429
"k=15, uniform",0.2,18,0.9314285714285714,0.9294117647058824,0.05714285714285714
"k=15, distance",0.0,18,0.9771428571428571,0.9777777777777777,0.0
"k=15, distance",0.05,18,0.9771428571428571,0.9777777777777777,0.011428571428571429
"k=15, distance",0.1,18,0.9771428571428571,0.9777777777777777,0.011428571428571429
"k=15, distance",0.2,18,0.92,0.9186046511627907,0.08
Выбрано по CV,0.0,18,0.9771428571428571,0.9777777777777777,0.0
Выбрано по CV,0.05,18,0.9771428571428571,0.9777777777777777,0.0
Выбрано по CV,0.1,18,0.9771428571428571,0.9777777777777777,0.0
Выбрано по CV,0.2,18,0.9714285714285714,0.9720670391061452,0.017142857142857144
"k=1, uniform",0.0,19,0.9371428571428572,0.9398907103825137,0.0
"k=1, uniform",0.05,19,0.8914285714285715,0.8961748633879781,0.045714285714285714
"k=1, uniform",0.1,19,0.8285714285714286,0.8351648351648352,0.12
"k=1, uniform",0.2,19,0.7542857142857143,0.7675675675675676,0.2057142857142857
"k=15, uniform",0.0,19,0.9542857142857143,0.9560439560439561,0.0
"k=15, uniform",0.05,19,0.9542857142857143,0.9560439560439561,0.0
"k=15, uniform",0.1,19,0.9542857142857143,0.9560439560439561,0.0
"k=15, uniform",0.2,19,0.9428571428571428,0.946236559139785,0.022857142857142857
"k=15, distance",0.0,19,0.9485714285714286,0.9508196721311475,0.0
"k=15, distance",0.05,19,0.9542857142857143,0.9560439560439561,0.005714285714285714
"k=15, distance",0.1,19,0.9485714285714286,0.9508196721311475,0.011428571428571429
"k=15, distance",0.2,19,0.9085714285714286,0.9139784946236559,0.06285714285714286
Выбрано по CV,0.0,19,0.9542857142857143,0.9565217391304348,0.0
Выбрано по CV,0.05,19,0.96,0.9617486338797814,0.005714285714285714
Выбрано по CV,0.1,19,0.9542857142857143,0.9565217391304348,0.0
Выбрано по CV,0.2,19,0.9485714285714286,0.9508196721311475,0.017142857142857144
