model,noise,seed,accuracy,f1,disagreement
Выбрано по CV,0.0,3,0.9285714285714286,0.9253731343283582,0.0
Выбрано по CV,0.05,3,0.8571428571428571,0.8484848484848485,0.1
Выбрано по CV,0.1,3,0.8571428571428571,0.8571428571428571,0.12857142857142856
Выбрано по CV,0.2,3,0.8714285714285714,0.8695652173913043,0.14285714285714285
Без ограничений,0.0,4,0.9142857142857143,0.9142857142857143,0.0
Без ограничений,0.05,4,0.8714285714285714,0.8767123287671232,0.04285714285714286
Без ограничений,0.1,4,0.8571428571428571,0.8611111111111112,0.08571428571428572
Без ограничений,0.2,4,0.7571428571428571,0.7671232876712328,0.18571428571428572
depth=3,0.0,4,0.8285714285714286,0.8064516129032258,0.0
depth=3,0.05,4,0.8857142857142857,0.8918918918918919,0.17142857142857143
depth=3,0.1,4,0.8571428571428571,0.8648648648648649,0.2
depth=3,0.2,4,0.8428571428571429,0.8493150684931506,0.21428571428571427
depth=5,0.0,4,0.9142857142857143,0.9142857142857143,0.0
depth=5,0.05,4,0.8857142857142857,0.8888888888888888,0.02857142857142857
depth=5,0.1,4,0.8428571428571429,0.8450704225352113,0.07142857142857142
depth=5,0.2,4,0.8571428571428571,0.8571428571428571,0.08571428571428572
leaf=5,0.0,4,0.8285714285714286,0.8181818181818182,0.0
leaf=5,0.05,4,0.8857142857142857,0.8888888888888888,0.14285714285714285
leaf=5,0.1,4,0.8857142857142857,0.8888888888888888,0.14285714285714285
leaf=5,0.2,4,0.8,0.8055555555555556,0.2
leaf=10,0.0,4,0.8285714285714286,0.8421052631578947,0.0
leaf=10,0.05,4,0.9,0.8955223880597015,0.12857142857142856
leaf=10,0.1,4,0.8285714285714286,0.8181818181818182,0.14285714285714285
leaf=10,0.2,4,0.8571428571428571,0.8484848484848485,0.14285714285714285
Выбрано по CV,0.0,4,0.9,0.9041095890410958,0.0
Выбрано по CV,0.05,4,0.8285714285714286,0.8285714285714286,0.07142857142857142
Выбрано по CV,0.1,4,0.8,0.8,0.12857142857142856
Выбрано по CV,0.2,4,0.8142857142857143,0.8115942028985508,0.08571428571428572
Без ограничений,0.0,5,0.9428571428571428,0.9393939393939394,0.0
Без ограничений,0.05,5,0.9,0.8923076923076924,0.1
Без ограничений,0.1,5,0.8428571428571429,0.835820895522388,0.15714285714285714
Без ограничений,0.2,5,0.7571428571428571,0.7301587301587301,0.2714285714285714
depth=3,0.0,5,0.8857142857142857,0.8888888888888888,0.0
depth=3,0.05,5,0.9142857142857143,0.918918918918919,0.02857142857142857
depth=3,0.1,5,0.8571428571428571,0.8717948717948718,0.08571428571428572
depth=3,0.2,5,0.8857142857142857,0.8857142857142857,0.02857142857142857
depth=5,0.0,5,0.9285714285714286,0.9230769230769231,0.0
depth=5,0.05,5,0.9,0.8985507246376812,0.11428571428571428
depth=5,0.1,5,0.9571428571428572,0.9565217391304348,0.05714285714285714
depth=5,0.2,5,0.8714285714285714,0.8831168831168831,0.17142857142857143
leaf=5,0.0,5,0.9285714285714286,0.9230769230769231,0.0
leaf=5,0.05,5,0.9285714285714286,0.9253731343283582,0.08571428571428572
leaf=5,0.1,5,0.9285714285714286,0.9253731343283582,0.08571428571428572
leaf=5,0.2,5,0.7571428571428571,0.6909090909090909,0.2
leaf=10,0.0,5,0.9285714285714286,0.9230769230769231,0.0
leaf=10,0.05,5,0.9142857142857143,0.9166666666666666,0.1
leaf=10,0.1,5,0.9428571428571428,0.9428571428571428,0.07142857142857142
leaf=10,0.2,5,0.8571428571428571,0.8571428571428571,0.15714285714285714
Выбрано по CV,0.0,5,0.9714285714285714,0.9705882352941176,0.0
Выбрано по CV,0.05,5,0.9285714285714286,0.9230769230769231,0.04285714285714286
Выбрано по CV,0.1,5,0.8,0.75,0.17142857142857143
Выбрано по CV,0.2,5,0.7714285714285715,0.7333333333333333,0.22857142857142856
Без ограничений,0.0,6,0.9571428571428572,0.9565217391304348,0.0
Без ограничений,0.05,6,0.9428571428571428,0.9411764705882353,0.014285714285714285
Без ограничений,0.1,6,0.8571428571428571,0.8611111111111112,0.1
Без ограничений,0.2,6,0.6857142857142857,0.6857142857142857,0.2714285714285714
depth=3,0.0,6,0.9,0.9090909090909091,0.0
depth=3,0.05,6,0.9,0.9090909090909091,0.0
depth=3,0.1,6,0.9,0.9090909090909091,0.0
depth=3,0.2,6,0.8714285714285714,0.8831168831168831,0.02857142857142857
